Program Name,URL,Program Type,Clear Program,Offers Bounties,Max Critical,Max High,Max Medium,Max Low,Average Bounty Max,Average Bounty Min,Top Bounty Max,Top Bounty Min,Resolved Reports,Reports Received in 90 Days,Total Bounties Paid (USD),Total Bounties Paid in 90 Days (USD),Avg Time to First Response (Hours),Avg Time to Triage (Hours),Avg Time to Bounty (Hours),Avg Time to Resolution (Hours),Progam Age (Months),Days Since Last Report
Alohi,https://hackerone.com/alohi,Public,No,No,0,0,0,0,0,0,0,0,8,86,0,0,15.0,24.0,0.0,105.0,0,1
Wickr,https://hackerone.com/wickr,Public,No,Yes,100000,25000,10000,1000,0,0,5000,5000,0,162,0,0,9.0,32.0,250.0,0.0,3,N/A
Payoneer,https://hackerone.com/payoneer,Public,No,Yes,5000,2000,750,100,750,750,2000,2000,5,246,6700,6700,15.0,32.0,227.0,192.0,3,48
Agoric,https://hackerone.com/agoric,Public,No,Yes,0,0,0,0,0,0,0,0,0,28,0,0,13.0,20.0,0.0,0.0,3,N/A
Auvik,https://hackerone.com/auvik,Public,No,No,0,0,0,0,0,0,0,0,6,50,0,0,16.0,22.0,0.0,191.0,3,37
Veeam,https://hackerone.com/veeam,Public,No,No,0,0,0,0,0,0,0,0,14,151,0,0,11.0,21.0,0.0,71.0,3,9
Redis ,https://hackerone.com/redis-vdp,Public,No,No,0,0,0,0,0,0,0,0,0,61,0,0,27.0,44.0,0.0,0.0,3,N/A
InMobi,https://hackerone.com/inmobi,Public,No,No,0,0,0,0,0,0,0,0,12,403,0,0,17.0,31.0,0.0,0.0,3,24
Mondelēz International,https://hackerone.com/mondelez,Public,No,No,0,0,0,0,0,0,0,0,75,232,0,0,11.0,28.0,0.0,324.0,4,1
Gemini,https://hackerone.com/gemini_trust_co_vdp,Public,No,No,0,0,0,0,0,0,0,0,0,28,0,0,11.0,30.0,0.0,0.0,4,N/A
Horizen,https://hackerone.com/horizen,Public,No,Yes,10000,3000,1000,300,0,0,0,0,2,41,0,0,8.0,13.0,0.0,0.0,4,106
OpenSea,https://hackerone.com/opensea,Public,No,Yes,50000,10000,3000,500,0,0,0,0,0,418,0,0,0.0,0.0,0.0,0.0,4,8
Internet Bug Bounty,https://hackerone.com/ibb,Public,No,Yes,10000,5000,3000,600,750,500,25000,2500,687,20,762740,6400,47.0,0.0,0.0,0.0,5,24
Hy-Vee,https://hackerone.com/hy-vee,Public,No,No,0,0,0,0,0,0,0,0,0,165,0,0,14.0,19.0,0.0,0.0,5,N/A
GSA Bounty,https://hackerone.com/gsa_bbp,Public,No,Yes,3000,1000,500,250,300,300,2000,750,171,70,59700,750,19.0,86.0,1968.0,1987.0,5,18
Tenable,https://hackerone.com/tenable,Public,No,No,0,0,0,0,0,0,0,0,6,25,0,0,18.0,109.0,0.0,256.0,5,4
Snowplow,https://hackerone.com/snowplow,Public,No,No,0,0,0,0,0,0,0,0,5,20,0,0,21.0,37.0,0.0,647.0,5,40
SEGA,https://hackerone.com/sega,Public,No,No,0,0,0,0,0,0,0,0,21,38,0,0,15.0,27.0,0.0,1124.0,6,4
EPAM,https://hackerone.com/epam,Public,No,No,0,0,0,0,0,0,0,0,67,92,0,0,16.0,36.0,0.0,972.0,6,4
Octopus Energy,https://hackerone.com/octopus-energy,Public,No,No,0,0,0,0,0,0,0,0,9,17,0,0,14.0,17.0,0.0,249.0,6,12
OneWeb,https://hackerone.com/oneweb,Public,No,No,0,0,0,0,0,0,0,0,18,16,0,0,11.0,32.0,0.0,1109.0,6,23
Cardano Foundation,https://hackerone.com/cardano-foundation,Public,No,Yes,10000,5000,2000,400,2000,300,2000,2000,0,11,2300,2000,40.0,86.0,615.0,0.0,6,N/A
VanMoof,https://hackerone.com/vanmoof,Public,No,No,0,0,0,0,0,0,0,0,4,20,0,0,27.0,31.0,0.0,0.0,7,122
Krisp,https://hackerone.com/krisp,Public,No,Yes,5000,1000,500,100,500,100,5000,1000,8,287,10000,5000,19.0,21.0,15.0,690.0,7,8
Trade Republic,https://hackerone.com/trade-republic,Public,No,No,0,0,0,0,0,0,0,0,4,5,0,0,23.0,101.0,0.0,0.0,8,135
MyEtherWallet,https://hackerone.com/myetherwallet,Public,No,Yes,2000,1000,500,250,500,250,500,500,7,19,2200,500,34.0,89.0,13.0,547.0,8,79
Lacework,https://hackerone.com/lacework,Public,No,No,0,0,0,0,0,0,0,0,9,11,0,0,20.0,156.0,0.0,2163.0,9,1
